question,law_id,article_id
Công an xã xử phạt lỗi không mang bằng lái xe có đúng không?,47/2011/tt-bca,7
Đập phá biển báo “khu vực biên giới” bị phạt thế nào?,96/2020/nđ-cp,10
"Mức phạt khi sử dụng trái phép lòng đường đô thị, hè phố để rửa xe",100/2019/nđ-cp,12
Mức phạt khi không thực hiện đúng quy trình tuyển sinh theo quy định của pháp luật là bao nhiêu?,04/2021/nđ-cp,8
Mức phạt khi quay đầu xe ô tô trên đường cao tốc,100/2019/nđ-cp,5
Nhập khẩu sản phẩm công nghệ thông tin đã qua sử dụng thuộc Danh mục cấm nhập khẩu bị phạt bao nhiêu tiền?,15/2020/nđ-cp,76
Điều khiển xe máy từ 02 xe trở lên chạy quá tốc độ mà không chấp hành hiệu lệnh dừng xe sẽ bị xử phạt bao nhiêu?,100/2019/nđ-cp,6
Mức phạt đối với hành vi sử dụng vốn công ty nhà nước gây lãng phí được quy định như thế nào?,63/2019/nđ-cp,36
Phạt thế nào khi thiết lập hệ thống thiết bị đầu cuối ngoài địa điểm theo thỏa thuận trong hợp đồng đại lý dịch vụ viễn thông?,15/2020/nđ-cp,20
"Có cử chỉ, lời nói thô bạo với phụ nữ bị phạt thế nào?",167/2013/nđ-cp,5
Mức phạt khi đỗ xe ô tô ngược với chiều lưu thông của làn đường ?,100/2019/nđ-cp,5
"Mức phạt đối với hành vi dừng, đỗ xe máy trên cầu ?",100/2019/nđ-cp,6
Sử dụng vé giả để đi tàu có bị phạt tiền hay không?,100/2019/nđ-cp,72
Mức phạt khi điều khiển xe ô tô trong hầm đường bộ không bật đèn cốt là bao nhiêu?,100/2019/nđ-cp,5
Mức xử phạt khi tổ chức quan trắc không báo cáo kết quả hoạt động hằng năm cho cơ quan có thẩm quyền được quy định như thế nào?,28/2020/nđ-cp,26
Cưỡi súc vật chạy đua trái phép trên đường giao thông bị phạt bao nhiêu?,100/2019/nđ-cp,34
Mức phạt đối với hành vi xây dựng chương trình đào tạo các trình độ của giáo dục đại học không đúng quy định là bao nhiêu?,04/2021/nđ-cp,11
"Điều khiển xe ô tô, máy kéo và các loại xe tương tự xe ô tô vi phạm quy định về bảo vệ môi trường bị phạt thế nào?",100/2019/nđ-cp,20
Trưởng Công an cấp xã được phạt tối đa bao nhiêu tiền trong lĩnh vực đường bộ?,100/2019/nđ-cp,76
Xe ô tô không giảm tốc độ và nhường đường khi điều khiển xe chạy từ trong ngõ sẽ bị xử phạt bao nhiêu?,100/2019/nđ-cp,5
"Mức phạt đối với hành vi lấn, chiếm rừng phòng hộ có diện tích từ 12.000 m2 đến dưới 15.000 m2 được quy định như thế nào?",35/2019/nđ-cp,7
"Mức phạt đối với hành vi không xây dựng, trình cấp có thẩm quyền phê duyệt phương án quản lý rừng bền vững được quy định như thế nào?",35/2019/nđ-cp,10
Mức phạt đối với hành vi điều khiển xe ô tô sử dụng Giấy đăng ký xe đã hết hạn sử dụng,100/2019/nđ-cp,16
Không giao nộp tiền giả thì bị phạt 500 nghìn có đúng quy định không?,88/2019/nđ-cp,31
"Chủ tịch UBND xã có quyền phạt hành chính tối đa bao nhiều tiền trong lĩnh vực an ninh, trật tự, an toàn xã hội?",167/2013/nđ-cp,67
Tổ chức vi phạm hành chính trong lĩnh vực thể thao bị phạt tối đa bao nhiêu tiền?,46/2019/nđ-cp,5
"Mức phạt khi làm sai lệch biển báo hiệu, đèn tín hiệu giao thông",100/2019/nđ-cp,15
Mức phạt tự ý mở cửa xe khi xe đang chạy là bao nhiêu tiền?,100/2019/nđ-cp,32
"Mức phạt hành vi lôi kéo bùn, đất, cát, nguyên liệu, vật liệu gây mất an toàn giao thông và vệ sinh môi trường đối với xe ô tô",100/2019/nđ-cp,20
Xử phạt công chứng viên không tiến hành xác minh khi có yêu cầu xác minh của người cần công chứng bao nhiêu?,82/2020/nđ-cp,15
